Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251
gobierno,español,sumar,junquera,condena,cumplir,puigdemont,revés,recibido,gobierno,españa,puesto,libertad,carl,puigdemont,justicia,alemán,juez,pablo,llarén,decidido,semana,instancia,ejecutivo,sumar,oriol,junquera,condena,cumplir,líder,pdecat,exvicepresidente,cataluña,permanecer,prisión,madrileño,estremero,noviembre,asumir,delito,atribuido,carl,puigdemont,tribunal,supremo,asegurar,acto,expresidente,catalán,legislatura,quedar,impún,junquera,pagar,maniobra,ideado,burlar,justicia,alemán,líder,esquerra,republicano,enfrentar,50,año,prisión,seguir,junquera,caer,cien,año,parar,carl,puigdemont,alemania,haré,junquera,sacrificar,asumiré,resignación,determinación,prometido,seguim,tuitear,trascender,decisión,llarén,fuente,anónimo,judicial,barajar,posibilidad,añadir,pena,oriol,junquera,condena,poder,imponer él,futuro,iñaki,urdangarin,rodrigo,rato,esperanza,aguirre,delito,robo,fuerza,ocurrido,semana,huesca,policía,incapaz,encontrar,culpable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciudadano,exigir,dimisión,cifuent,año,venir,faltar,elección,ciudadano,vuelto,mostrar,implacable,oposición,gobierno,partido,popular,semana,saltar,escándalo,presunto,irregularidad,máster,cristina,cifuent,universidad,rey,juan,carlos,portavoz,regional,ciudadano,ignacio,aguado,exigido,dimisión,presidentar,año,venir,falta,celebrir,elección,autonómico,madrid,vencido,ultimátum,pp,apoyar,creación,comisión,investigación,aguado,mostrado,firme,ultimátum,amenazar,ultimátums,dispuesto,dar él,ultimátums,hacer,falta,temblar,pulso,contundencia,albert,rivera,líder,formación,situación,insostenible,año,venir,celebrir,elección,cristín,cifuent,marchar,dirección,nacional,ciudadano,demostrar,compromiso,limpiar,corrupción,partido,gobierno,cifuent,votar,comicio,permitir,seguir,puesto,declarado,severidad,democracia,pueblo,decidir,pasar,añadido,formación,naranjar,amenazado,proponer,candidato,alternativo,presidir,comunidad,madrid,creer,c.,cifuent,persona,adecuado,puesto,preparación,necesario,relevar,actual,presidenta,limpiar,madrid,corrupción,albert,rivero,prensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariano,rajoy,admite,incluir,presidencia,españa,curriculum,recordar,líder,partido,popular,mariano,rajoy,reconocido,curriculum,figurar,págín,web,oficial,partido,aparecer,presidencia,españa,ocupaciones,recordar,sinceramente,estar,admitido,prensa,quitar,hierro,asunto,polémico,máster,haber,obtener,forma,irregular,cristina,cifuent,saber,vicesecretario,comunicación,pp,pablo,casado,año,dedicar,tiempo,sinceramente,insistido,relación,presidencia,país,equipo,gente,cosas,conservar,documento,comprender,sentido,poner él,mirar,presidir,año,centrémono,tocar,polémica,absurdo,distraer,asunto,verdaderamente,serio,verdaderamente,importante,argumentado,rajoy,insistencia,periodista,político,popular,precisado,presidencia,joven,sábado,jugar,baloncesto,liga,colegio,domingo,mañana,liga,empresa,ser,ligar,colegio,nombre,estudiar,jesuita,época,negado,demostrar,prueba,documental,gobierno,nación,rajoy,ofrecido,aportar,archivo,supuestamente,probareír,mandato,josé,maría,aznar,ocupar,diverso,cartera,1996,2003,administración,público,vicepresidencia,decir,interior,jaime,turnar,cenicero,platar,precisamente,época,asegurar,hacer,cortes,creer,preguntar,conocer,mundo,asegurado,reiterar,presidencia,poner,mano,fuego,preguntado,ciudadano,español,poder,confirmar,mariano,rajoy,presidir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cristina,cifuent,empezar,referir él,señora,distanciar él,fingir,conocer él,presidenta,comunidad,madrid,cristinar,cifuent,empezado,referir él,persona,nombre,mencionar,señoro,conocer,saludar,pasillo,génova,desprender,declaración,mañana,ah,cifuent,cristina,cifuent,preguntado,periodista,persón,referir,nombre,c.,cifuent,figurar,documento,máster,militante,autoridad,cifuent,asegurar,sentir,engañado,persona,sondeo,hora,electorado,español,empezado,confiar,candidata,presidencia,gobierno,demostrado,solvencia,aptitudes,alturar,líder,españa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justicia,alemán,libero,puigdemont,pedir,cifuent,enseñe,trabajo,máster,preguntar,m.,rajoy,audiencia,territorial,schleswig-holstein,norte,alemania,descartado,jueves,delito,rebelión,petición,extradición,españa,expresidente,generalitat,cataluña,carles,puigdemont,dejar,libertad,fianzar,continuación,exigir,presidenta,comunidad,madrid,cristina,cifuent,enseñe,trabajo,máster,preguntar,m.,rajoy,aparecer,papel,bárcena,rebelión,imprescindible,averiguar,m.,rajoy,persón,tema,insistido,juez,alemán,analizar,petición,extradición,español,político,catalán,asegurar,tanto,incógnita,identidad,esconder,nombre,clave,indicio,implicación,tipo,delito,cristín,cifuent,juez,confiado,alemania,sumar,moción,censuro,psoe,presentar,apartar él,presidencia,comunidad,madrid,hora,juez,alemán,advertido,gobierno,español,revisar,vídeo,carga,policial,1-o,abrir,investigación,torno,disco,duro,sede,partido,popular,calle,génova,madrid,destruido,pedir,formalmente,coro,tema,valtonyc,declarado,juez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oposición,mostrar,documento,acreditar,cristina,cifuent,dimitido,cristina,cifuent,presentado,dimisión,presidentar,comunidad,madrid,término,asamblea,deber,explicación,máster,universitario,versión,oposición,gobierno,región,mostrado,carto,dimisión,firmado,cifuent,asegurar,documento,falso,firma,portavoz,psoe,ángel,gabilondo,aplauso,resto,oposición,documento,auténtico,recae,responsabilidad,probar él,agregado,gabilondo,visiblemente,alterado,cifuent,insistido,carta,falsificado,prueba,totalmente,insuficiente,demostrar,dimitido,psoe,ciudadano,anunciado,querellacer,expresidentar,dudo,honor,oposición,acusar él,falsedad,documental,grave,prueba,carta,dimisión,firmado,señora,cifuent,falso,manifiesto,explicación,posible,aportado,documento,sostener,dimitido,escrito,decir,demuéstrelo,ejerzo,presidenta,demostrar él,efecto,renunciado,zanjado,ignacio,aguado,portavoz,ciudadano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montoro,preguntar,español,querer,presupuesto,general,ivo,ivo,advertir,iva,caro,ministro,hacienda,cristóbal,montoro,preguntado,español,presupuesto,general,querer,iva,ivo,presupuesto,iva,salir,baratito,explicado,ministro,mañana,rodar,prenso,faltar,pasar él,haciendo,ministro,hacienda,caso,congreso,aprobar,presupuesto,2018,presentar,ayer,vivo,voz,documentación,gobierno,pedir,español,factura,confianza,decir,hacienda,enterar,mirar,presupuesto,tranquilo,mano,montoro,asegurar,equipo,tener,problema,presupuesto,iva,pedir,español,decir,salir,caro,falta,explicado,presupuesto,presentado,ayer,contemplar,gasto,327955,millón,euros,gobierno,justificar,dieta,presupuesto,oficial,constar,administración,1345,euros,win,win,insistido,montoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clave,presupuesto,general,ministro,hacienda,cristóbal,montoro,presentado,congreso,tradicional,libro,amarillo,proyecto,presupuesto,general,2018,novedad,importante,año,infraestructura,hormigoneras,año,cine,aumento,partido,presupuestario,permitir,película,superlópez,estrenar,navidad,2019,marca,agua,editor,vídeo,comprar,licencia,14,euros,comprar,noticia,gurb,eduardo,mendoza,deber,compartir él,alumno,español,pensión,visita,soraya,sáenz,santamacer,abuelo,gobierno,50,euros,pensión,cultura,recorto,80%,partida,cultura,gobierno,usar,netflix,recorte,sanidad,presentado,virus,gripe,presupuesto,provocar,moco,estornudo,gobierno,poder,recortar,presupuesto,partido,aligerar,ley,eutanasia,ministerio,ambiente,pasar,ocupar,ambiente,entero,recibir,fondo,mañana,1,disponer,presupuesto,asesorar él,médico,año,consecutivo,partido,sostenimiento,familia,casa,rey,aumentar,ligeramente,100,millón,saco,trigo,100,peso,vástago,oro,20,acr,tierrar,enemigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariano,rajoy,lío,huir,españa,error,asegurar,independentista,españa,persecución,judicial,politico,clima,españa,irrespirable,mariano,rajoy,huido,error,bélgico,viernes,leer,prensa,tribunal,supremo,decidido,procesar,rebelión,diverso,político,temer,tiempo,leer,detalle,visto,necesario,salir,país,explicado,extranjero,prensar,cosa,ocurrir,catalán,evidente,político,quedarno,españa,claramente,informado,situación,real,juez,perseguir,mundo,tener,comparecer,julio,tema,absurdo,admitir,volver,españa,volver,españa,explicado,periodista,podido,presidente,esperar,gobernar,exilio,cambiar,nombre,m.,rajoy,burlar,detención,internacional,mariano,rajoy,enviado,diverso,sms,español,mensaje,aguantad,sed,fuerte,admitir,prensa,volver,españa,desconfíar,situación,tipo,arreglo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inés,arrimada,investido,presidenta,catalunya,pleno,exprés,privado,baño,casa,presidente,parlament,roger,torrent,diputado,haber,informar,inés,arrimada,visto,obligado,organizar,pleno,priori,previsto,permitido,presidenta,baño,casa,informado,fuente,cercano,gobernar,catalán,catalán,votado,inés,arrimada,discurso,investidurar,agradecer,candidatura,aprobado,vuelta,mayoría,absoluto,voto,cámara,histórico,baño,domicilio,particular,lugar,representar,voluntad,pueblo,cataluña,comprometo,respetar,uña,diente,baño,privado,permitir,escena,visto,recordar,lamentable,absolutamente,vergonzoso,asegurado,finalizar,discurso,prolongado,45,minuto,interrumpido,vítor,aplauso,arrimada,dejado,entrar,baño,marido,llevar,hora,pedir,acceder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
